id,star,name,name_link,cost,hp1,hpmax,atk1,atkmax,des,des_max,icon,img_link
305,4,寄生炸弹虫,寄生炸弹虫,9,100,100,100,100,梅菲斯托费勒斯(Caster)装备，且自身在场时，<br>己方全体的宝具威力提升20%,,https://fgo.wiki\images/e/e8/礼装305.jpg,https://fgo.wiki\images/d/d6/%E5%AF%84%E7%94%9F%E7%82%B8%E5%BC%B9%E8%99%AB.png
306,4,勇士的沸腾,勇士的沸腾,9,100,100,100,100,弗格斯(Saber)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升10%＆宝具威力提升10%,,https://fgo.wiki\images/d/d1/礼装306.jpg,https://fgo.wiki\images/0/0c/%E5%8B%87%E5%A3%AB%E7%9A%84%E6%B2%B8%E8%85%BE.png
307,4,我的人生令人厌恶,我的人生令人厌恶,9,100,100,100,100,桑松(Assassin)装备，且自身在场时，<br>己方全体即死付与成功率提升10%＆NP获得量提升10%,,https://fgo.wiki\images/6/6c/礼装307.jpg,https://fgo.wiki\images/9/99/%E6%88%91%E7%9A%84%E4%BA%BA%E7%94%9F%E4%BB%A4%E4%BA%BA%E5%8E%8C%E6%81%B6.png
308,4,爱，不在此处,爱，不在此处,9,100,100,100,100,卡利古拉(Berserker)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升20%＆防御力下降10%【负面效果】,,https://fgo.wiki\images/9/93/礼装308.jpg,https://fgo.wiki\images/0/00/%E7%88%B1%EF%BC%8C%E4%B8%8D%E5%9C%A8%E6%AD%A4%E5%A4%84.png
309,5,苍玉之魔法少女,苍玉之魔法少女,12,0,0,500,2000,自身的NP获得量提升25%＆以NP已达40%的状态开始战斗,自身的NP获得量提升30%＆以NP已达50%的状态开始战斗[最大解放],https://fgo.wiki\images/c/c4/礼装309.jpg,https://fgo.wiki\images/d/d1/%E8%8B%8D%E7%8E%89%E4%B9%8B%E9%AD%94%E6%B3%95%E5%B0%91%E5%A5%B3.png
310,4,见敌必杀,见敌必杀,9,320,1200,200,750,自身的Arts指令卡性能提升8%＆宝具威力提升15%,自身的Arts指令卡性能提升10%＆宝具威力提升20%[最大解放],https://fgo.wiki\images/a/ab/礼装310.jpg,https://fgo.wiki\images/b/b4/%E8%A7%81%E6%95%8C%E5%BF%85%E6%9D%80.png
311,3,ZUNGA ZUNGA！,ZUNGA ZUNGA！,5,300,1500,0,0,付与自身伤害减免100状态＆HP回复量提升5%,付与自身伤害减免200状态＆HP回复量提升10%[最大解放],https://fgo.wiki\images/2/21/礼装311.jpg,https://fgo.wiki\images/e/ee/ZUNGA_ZUNGA%EF%BC%81.png
312,4,万华红宝石,万华红宝石,9,0,0,400,1500,自身的Buster指令卡性能提升10%＆宝具威力提升8%,自身的Buster指令卡性能提升15%＆宝具威力提升10%[最大解放],https://fgo.wiki\images/0/07/礼装312.jpg,https://fgo.wiki\images/5/5b/%E4%B8%87%E5%8D%8E%E7%BA%A2%E5%AE%9D%E7%9F%B3.png
313,4,万华蓝宝石,万华蓝宝石,9,0,0,400,1500,自身的Arts指令卡性能提升10%＆宝具威力提升8%,自身的Arts指令卡性能提升15%＆宝具威力提升10%[最大解放],https://fgo.wiki\images/6/69/礼装313.jpg,https://fgo.wiki\images/8/82/%E4%B8%87%E5%8D%8E%E8%93%9D%E5%AE%9D%E7%9F%B3.png
314,3,概念礼装EXP卡：魔法红宝石,概念礼装EXP卡：魔法红宝石,5,0,0,0,0,提供18000点概念礼装经验值,无效果,https://fgo.wiki\images/8/8e/礼装314.jpg,https://fgo.wiki\images/5/5c/%E6%A6%82%E5%BF%B5%E7%A4%BC%E8%A3%85EXP%E5%8D%A1%EF%BC%9A%E9%AD%94%E6%B3%95%E7%BA%A2%E5%AE%9D%E7%9F%B3.png
315,4,无我识 心空妙有,无我识 心空妙有,9,100,100,100,100,两仪式(Saber)装备，且自身在场时，<br>己方全体的Arts指令卡性能提升15%,,https://fgo.wiki\images/7/7b/礼装315.jpg,https://fgo.wiki\images/1/15/%E6%97%A0%E6%88%91%E8%AF%86_%E5%BF%83%E7%A9%BA%E5%A6%99%E6%9C%89.png
316,4,天草四郎阵中旗,天草四郎阵中旗,9,100,100,100,100,天草四郎(Ruler)装备，且自身在场时，<br>为己方全体付与对〔死灵与恶魔〕20%的特攻状态,,https://fgo.wiki\images/f/fb/礼装316.jpg,https://fgo.wiki\images/0/01/%E5%A4%A9%E8%8D%89%E5%9B%9B%E9%83%8E%E9%98%B5%E4%B8%AD%E6%97%97.png
317,4,伊夫堡,伊夫堡,9,100,100,100,100,岩窟王爱德蒙·唐泰斯(Avenger)装备，且自身在场时，<br>己方全体的Quick指令卡性能提升15%,,https://fgo.wiki\images/4/4e/礼装317.jpg,https://fgo.wiki\images/e/e1/%E4%BC%8A%E5%A4%AB%E5%A0%A1.png
318,4,无限烤薄饼,无限烤薄饼,9,100,100,100,100,美狄亚〔Lily〕(Caster)装备，且自身在场时，<br>己方全体的回复量提升30%,,https://fgo.wiki\images/7/7e/礼装318.jpg,https://fgo.wiki\images/7/7d/%E6%97%A0%E9%99%90%E7%83%A4%E8%96%84%E9%A5%BC.png
319,4,红色夹克衫,红色夹克衫,9,100,100,100,100,两仪式(Assassin)装备，且自身在场时，<br>己方全体的即死付与成功率提升30%,,https://fgo.wiki\images/d/d9/礼装319.jpg,https://fgo.wiki\images/0/05/%E7%BA%A2%E8%89%B2%E5%A4%B9%E5%85%8B%E8%A1%AB.png
320,4,非世间所存之幻马,非世间所存之幻马,9,100,100,100,100,阿斯托尔福(Rider)装备时，<br>自身的宝具威力提升30%＆自身登场时付与我方全体回避状态(1次),,https://fgo.wiki\images/6/69/礼装320.jpg,https://fgo.wiki\images/5/50/%E9%9D%9E%E4%B8%96%E9%97%B4%E6%89%80%E5%AD%98%E4%B9%8B%E5%B9%BB%E9%A9%AC.png
321,4,友人的信函,友人的信函,9,100,100,100,100,吉尔·德·雷(Caster)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升20%＆己方全体的暴击星掉落率降低20%【负面效果】,,https://fgo.wiki\images/6/62/礼装321.jpg,https://fgo.wiki\images/9/94/%E5%8F%8B%E4%BA%BA%E7%9A%84%E4%BF%A1%E5%87%BD.png
322,4,库林的猛犬,库林的猛犬,9,100,100,100,100,库·丘林(Prototype)(Lancer)装备，且自身在场时，<br>为己方全体付与对〔猛兽〕20%的特攻状态,,https://fgo.wiki\images/9/9b/礼装322.jpg,https://fgo.wiki\images/a/af/%E5%BA%93%E6%9E%97%E7%9A%84%E7%8C%9B%E7%8A%AC.png
323,4,女神的闪耀,女神的闪耀(尤瑞艾莉),9,100,100,100,100,尤瑞艾莉(Archer)装备，且自身在场时，<br>己方全体的Arts指令卡性能提升15%,,https://fgo.wiki\images/0/02/礼装323.jpg,https://fgo.wiki\images/1/1b/%E5%A5%B3%E7%A5%9E%E7%9A%84%E9%97%AA%E8%80%80%28%E5%B0%A4%E7%91%9E%E8%89%BE%E8%8E%89%29.png
324,4,英雄的武装,英雄的武装,9,100,100,100,100,赫克托耳(Lancer)装备，且自身在场时，<br>己方全体的宝具威力提升20%,,https://fgo.wiki\images/0/0d/礼装324.jpg,https://fgo.wiki\images/6/69/%E8%8B%B1%E9%9B%84%E7%9A%84%E6%AD%A6%E8%A3%85.png
325,5,荣誉至此,荣誉至此,12,0,0,500,2000,自身宝具威力提升15%＆暴击威力提升15%＆付与自身每回合获得3个暴击星的状态,自身宝具威力提升20%＆暴击威力提升20%＆付与自身每回合获得4个暴击星的状态[最大解放],https://fgo.wiki\images/5/58/礼装325.jpg,https://fgo.wiki\images/9/99/%E8%8D%A3%E8%AA%89%E8%87%B3%E6%AD%A4.png
326,4,起源的军团,起源的军团,9,320,1200,200,750,自身防御力提升8%＆宝具威力提升15%,自身防御力提升10%＆宝具威力提升20%[最大解放],https://fgo.wiki\images/0/0a/礼装326.jpg,https://fgo.wiki\images/c/cb/%E8%B5%B7%E6%BA%90%E7%9A%84%E5%86%9B%E5%9B%A2.png
327,3,对月咆哮,对月咆哮,5,0,0,200,1000,自身的Buster指令卡性能提升10%＆弱化耐性降低20%,自身的Buster指令卡性能提升15%＆弱化耐性降低20%【负面效果】[最大解放],https://fgo.wiki\images/c/cd/礼装327.jpg,https://fgo.wiki\images/f/fc/%E5%AF%B9%E6%9C%88%E5%92%86%E5%93%AE.png
328,5,白蔷薇姬,白蔷薇姬,12,400,1600,250,1000,付与自身毅力状态(1次·HP回复1)＆NP已达10%的状态开始战斗,付与自身毅力状态(1次·HP回复1)＆NP已达20%的状态开始战斗[最大解放],https://fgo.wiki\images/5/50/礼装328.jpg,https://fgo.wiki\images/c/c8/%E7%99%BD%E8%94%B7%E8%96%87%E5%A7%AC.png
329,5,联合演唱会,联合演唱会,12,0,0,500,2000,自身的Buster指令卡性能提升15%＆暴击威力提升15%,自身的Buster指令卡性能提升20%＆暴击威力提升20%[最大解放],https://fgo.wiki\images/6/60/礼装329.jpg,https://fgo.wiki\images/d/d3/%E8%81%94%E5%90%88%E6%BC%94%E5%94%B1%E4%BC%9A.png
330,5,迦勒底午餐时光,迦勒底午餐时光,12,400,1600,250,1000,关卡通关时获得的羁绊值提升2%,关卡通关时获得的羁绊值提升10%[最大解放],https://fgo.wiki\images/4/49/礼装330.jpg,https://fgo.wiki\images/7/7f/%E8%BF%A6%E5%8B%92%E5%BA%95%E5%8D%88%E9%A4%90%E6%97%B6%E5%85%89.png
331,3,佛拉格拉克,佛拉格拉克,5,0,0,200,1000,自身的暴击星集中度提升200%,自身的暴击星集中度提升300%[最大解放],https://fgo.wiki\images/a/a0/礼装331.jpg,https://fgo.wiki\images/5/52/%E4%BD%9B%E6%8B%89%E6%A0%BC%E6%8B%89%E5%85%8B.png
332,3,天之逆月,天之逆月,5,300,1500,0,0,付与自身每回合获得1个暴击星的状态＆弱化耐性提开5%,付与自身每回合获得2个暴击星的状态＆弱化耐性提开10%[最大解放],https://fgo.wiki\images/1/13/礼装332.jpg,https://fgo.wiki\images/e/e4/%E5%A4%A9%E4%B9%8B%E9%80%86%E6%9C%88.png
333,3,许德拉匕首,许德拉匕首,5,0,0,200,1000,自身即死付与成功率提升5%,自身即死付与成功率提升10%[最大解放],https://fgo.wiki\images/2/23/礼装333.jpg,https://fgo.wiki\images/c/cc/%E8%AE%B8%E5%BE%B7%E6%8B%89%E5%8C%95%E9%A6%96.png
334,4,不屈不挠,不屈不挠,9,100,100,100,100,南丁格尔(Berserker)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升10%＆HP回复量提升20%,,https://fgo.wiki\images/d/d9/礼装334.jpg,https://fgo.wiki\images/2/24/%E4%B8%8D%E5%B1%88%E4%B8%8D%E6%8C%A0.png
335,4,孤身一人的战争,孤身一人的战争,9,100,100,100,100,库·丘林(Alter)(Berserker)装备时，<br>自身的宝具威力提升30%＆付与毅力状态(1次·HP回复20%),,https://fgo.wiki\images/4/45/礼装335.jpg,https://fgo.wiki\images/8/8a/%E5%AD%A4%E8%BA%AB%E4%B8%80%E4%BA%BA%E7%9A%84%E6%88%98%E4%BA%89.png
336,4,神圣之泉,神圣之泉,9,100,100,100,100,女王梅芙(Rider)装备，且自身在场时，<br>己方全体的NP获得量提升15%,,https://fgo.wiki\images/b/be/礼装336.jpg,https://fgo.wiki\images/a/ab/%E7%A5%9E%E5%9C%A3%E4%B9%8B%E6%B3%89.png
337,4,不灭之刃,不灭之刃,9,100,100,100,100,罗摩(Saber)装备，且自身在场时，<br>己方全体的暴击威力提升25%,,https://fgo.wiki\images/e/eb/礼装337.jpg,https://fgo.wiki\images/2/26/%E4%B8%8D%E7%81%AD%E4%B9%8B%E5%88%83.png
338,4,被隐藏的女神,被隐藏的女神,9,100,100,100,100,海伦娜·布拉瓦茨基(Caster)装备，且自身在场时，<br>为己方全体付与对〔Assassin〕20%的特攻状态,,https://fgo.wiki\images/a/af/礼装338.jpg,https://fgo.wiki\images/8/8b/%E8%A2%AB%E9%9A%90%E8%97%8F%E7%9A%84%E5%A5%B3%E7%A5%9E.png
339,4,文明的灯火,文明的灯火,9,100,100,100,100,托马斯·爱迪生(Caster)装备，且自身在场时，<br>己方全体的NP获得量提升15%,,https://fgo.wiki\images/9/99/礼装339.jpg,https://fgo.wiki\images/f/fd/%E6%96%87%E6%98%8E%E7%9A%84%E7%81%AF%E7%81%AB.png
340,4,本领，已达神域,本领，已达神域,9,100,100,100,100,李书文(Lancer)装备，且自身在场时，<br>己方全体的Arts指令卡性能提升15%,,https://fgo.wiki\images/f/f2/礼装340.jpg,https://fgo.wiki\images/5/5a/%E6%9C%AC%E9%A2%86%EF%BC%8C%E5%B7%B2%E8%BE%BE%E7%A5%9E%E5%9F%9F.png
341,4,骑士的誓言,骑士的誓言,9,100,100,100,100,迪尔姆德·奥迪那(Lancer)装备，且自身在场时，<br>己方全体的Quick指令卡性能提升10%＆Arts指令卡性能提升10%,,https://fgo.wiki\images/a/ae/礼装341.jpg,https://fgo.wiki\images/8/8b/%E9%AA%91%E5%A3%AB%E7%9A%84%E8%AA%93%E8%A8%80.png
342,4,元素精灵,元素精灵,9,100,100,100,100,冯·霍恩海姆·帕拉塞尔苏斯(Caster)装备，且自身在场时，<br>己方全体的Arts指令卡性能提升10%＆宝具威力提升10%,,https://fgo.wiki\images/2/28/礼装342.jpg,https://fgo.wiki\images/8/8b/%E5%85%83%E7%B4%A0%E7%B2%BE%E7%81%B5.png
343,4,真・差分机,真·差分机,9,100,100,100,100,查尔斯·巴贝奇(Caster)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升20%＆防御力降低10%[负面效果],,https://fgo.wiki\images/7/74/礼装343.jpg,https://fgo.wiki\images/5/58/%E7%9C%9F%C2%B7%E5%B7%AE%E5%88%86%E6%9C%BA.png
344,5,危险野兽,危险野兽,12,0,0,500,2000,自身的Quick指令卡性能提升15%＆付与每回合获得3个暴击星的状态,自身的Quick指令卡性能提升20%＆付与每回合获得4个暴击星的状态[最大解放],https://fgo.wiki\images/0/0e/礼装344.jpg,https://fgo.wiki\images/0/0e/%E5%8D%B1%E9%99%A9%E9%87%8E%E5%85%BD.png
345,4,月夜魔女,月夜魔女,9,320,1200,200,750,自身的Arts指令卡性能提升10%＆NP获得量提升5%,自身的Arts指令卡性能提升15%＆NP获得量提升10%[最大解放],https://fgo.wiki\images/3/3e/礼装345.jpg,https://fgo.wiki\images/e/e6/%E6%9C%88%E5%A4%9C%E9%AD%94%E5%A5%B3.png
346,3,罗玛尼・阿其曼伯爵的款待,罗玛尼·阿其曼伯爵的款待,5,300,1500,0,0,自身NP获得量提升5%＆防御力提升3%,自身NP获得量提升10%＆防御力提升5%[最大解放],https://fgo.wiki\images/9/9f/礼装346.jpg,https://fgo.wiki\images/9/9b/%E7%BD%97%E7%8E%9B%E5%B0%BC%C2%B7%E9%98%BF%E5%85%B6%E6%9B%BC%E4%BC%AF%E7%88%B5%E7%9A%84%E6%AC%BE%E5%BE%85.png
347,5,勇者小伊丽的冒险,勇者小伊丽的冒险,12,0,0,500,2000,自身的Buster指令卡性能提升10%＆宝具威力提升20%,自身的Buster指令卡性能提升15%＆宝具威力提升25%[最大解放],https://fgo.wiki\images/8/82/礼装347.jpg,https://fgo.wiki\images/e/ea/%E5%8B%87%E8%80%85%E5%B0%8F%E4%BC%8A%E4%B8%BD%E7%9A%84%E5%86%92%E9%99%A9.png
348,4,法师＆牧师,法师＆牧师,9,320,1200,200,750,自身宝具威力提升15%＆HP回复量提升10%,自身宝具威力提升20%＆HP回复量提升20%[最大解放],https://fgo.wiki\images/e/ea/礼装348.jpg,https://fgo.wiki\images/5/5d/%E6%B3%95%E5%B8%88%EF%BC%86%E7%89%A7%E5%B8%88.png
349,3,玛塔・哈丽的酒吧,玛塔·哈丽的酒吧,5,0,0,200,1000,自身的Quick指令卡性能提升2%＆Arts指令卡性能提升2%＆Buster指令卡性能提升2%＆暴击威力提升5%,自身的Quick指令卡性能提升3%＆Arts指令卡性能提升3%＆Buster指令卡性能提升3%＆暴击威力提升10%[最大解放],https://fgo.wiki\images/b/bc/礼装349.jpg,https://fgo.wiki\images/a/a9/%E7%8E%9B%E5%A1%94%C2%B7%E5%93%88%E4%B8%BD%E7%9A%84%E9%85%92%E5%90%A7.png
350,4,焰刑地狱,焰刑地狱,9,100,100,100,100,贞德〔Alter〕(Avenger)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升15%,,https://fgo.wiki\images/b/b3/礼装350.jpg,https://fgo.wiki\images/a/a3/%E7%84%B0%E5%88%91%E5%9C%B0%E7%8B%B1.png
351,4,戈耳狄俄斯之结,戈耳狄俄斯之结,9,100,100,100,100,伊斯坎达尔(Rider)装备，且自身在场时，<br>己方全体的攻击力提升15%,,https://fgo.wiki\images/6/63/礼装351.jpg,https://fgo.wiki\images/0/09/%E6%88%88%E8%80%B3%E7%8B%84%E4%BF%84%E6%96%AF%E4%B9%8B%E7%BB%93.png
352,4,白龙,白龙,9,100,100,100,100,玄奘三藏(Caster)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升20%＆防御力降低10%[负面效果],,https://fgo.wiki\images/c/c7/礼装352.jpg,https://fgo.wiki\images/a/a6/%E7%99%BD%E9%BE%99.png
353,4,至无阳光映照之处,至无阳光映照之处,9,100,100,100,100,卫宫(Assassin)装备，且自身在场时，<br>己方全体的Quick指令卡件能提升10%＆Arts指令卡性能提升10%,,https://fgo.wiki\images/c/cd/礼装353.jpg,https://fgo.wiki\images/b/bc/%E8%87%B3%E6%97%A0%E9%98%B3%E5%85%89%E6%98%A0%E7%85%A7%E4%B9%8B%E5%A4%84.png
354,4,天之衣,天之衣,9,100,100,100,100,爱丽丝菲尔(天之衣)(Caster)装备，且自身在场时，<br>己方全体的HP回复量提升30%,,https://fgo.wiki\images/8/8a/礼装354.jpg,https://fgo.wiki\images/1/18/%E5%A4%A9%E4%B9%8B%E8%A1%A3.png
355,4,黄金律的表现,黄金律的表现,9,100,100,100,100,幼吉尔(Archer)装备，且自身在场时，<br>己方全体的NP获得量提升15%,,https://fgo.wiki\images/6/63/礼装355.jpg,https://fgo.wiki\images/5/58/%E9%BB%84%E9%87%91%E5%BE%8B%E7%9A%84%E8%A1%A8%E7%8E%B0.png
356,4,这片大地的精灵,这片大地的精灵,9,100,100,100,100,杰罗尼莫(Caster)装备，且自身在场时，<br>己方全体的NP获得量提升15%,,https://fgo.wiki\images/5/5c/礼装356.jpg,https://fgo.wiki\images/a/a8/%E8%BF%99%E7%89%87%E5%A4%A7%E5%9C%B0%E7%9A%84%E7%B2%BE%E7%81%B5.png
357,4,见识一下你的枪吧,见识一下你的枪吧,9,100,100,100,100,比利小子(Archer)装备，且自身在场时，<br>己方全体的暴击威力提升25%,,https://fgo.wiki\images/6/63/礼装357.jpg,https://fgo.wiki\images/1/1a/%E8%A7%81%E8%AF%86%E4%B8%80%E4%B8%8B%E4%BD%A0%E7%9A%84%E6%9E%AA%E5%90%A7.png
358,4,百人藏书,百人藏书,9,100,100,100,100,百貌哈桑(Assassin)装备，且自身在场时，<br>己方全体的Quick指令卡性能提升8%＆Arts指令卡性能提升8%＆Buster指令卡性能提升8%,,https://fgo.wiki\images/d/d1/礼装358.jpg,https://fgo.wiki\images/3/3d/%E7%99%BE%E4%BA%BA%E8%97%8F%E4%B9%A6.png
359,4,最后的碎片,最后的碎片,9,100,100,100,100,安哥拉曼纽(Avenger)装备时，<br>付与自身对『Beast』职阶的攻击优位状态， 毅力回复（回复20%HP，一次）,,https://fgo.wiki\images/4/4c/礼装359.jpg,https://fgo.wiki\images/c/c6/%E6%9C%80%E5%90%8E%E7%9A%84%E7%A2%8E%E7%89%87.png
360,4,Fate-EXTELLA,Fate/EXTELLA,9,100,100,100,100,自身暴击威力提升15%＆付与每回合获得3个暴击星状态,,https://fgo.wiki\images/4/4b/礼装360.jpg,https://fgo.wiki\images/2/20/FateEXTELLA.png
361,4,灵子肖像：尼禄・克劳狄乌斯,灵子肖像：尼禄·克劳狄乌斯,9,100,100,100,100,关卡通关时获得的御主经验增加50,,https://fgo.wiki\images/7/7c/礼装361.jpg,https://fgo.wiki\images/1/12/%E7%81%B5%E5%AD%90%E8%82%96%E5%83%8F%EF%BC%9A%E5%B0%BC%E7%A6%84%C2%B7%E5%85%8B%E5%8A%B3%E7%8B%84%E4%B9%8C%E6%96%AF.png
362,4,灵子肖像：无铭,灵子肖像：无铭,9,100,100,100,100,关卡通关时获得的御主经验增加50,,https://fgo.wiki\images/1/17/礼装362.jpg,https://fgo.wiki\images/a/a6/%E7%81%B5%E5%AD%90%E8%82%96%E5%83%8F%EF%BC%9A%E6%97%A0%E9%93%AD.png
363,4,灵子肖像：玉藻前,灵子肖像：玉藻前,9,100,100,100,100,关卡通关时获得的御主经验增加50,,https://fgo.wiki\images/2/2a/礼装363.jpg,https://fgo.wiki\images/0/03/%E7%81%B5%E5%AD%90%E8%82%96%E5%83%8F%EF%BC%9A%E7%8E%89%E8%97%BB%E5%89%8D.png
364,4,灵子肖像：迦尔纳,灵子肖像：迦尔纳,9,100,100,100,100,关卡通关时获得的御主经验增加50,,https://fgo.wiki\images/8/82/礼装364.jpg,https://fgo.wiki\images/2/26/%E7%81%B5%E5%AD%90%E8%82%96%E5%83%8F%EF%BC%9A%E8%BF%A6%E5%B0%94%E7%BA%B3.png
365,4,灵子肖像：阿蒂拉,灵子肖像：阿蒂拉,9,100,100,100,100,关卡通关时获得的御主经验增加50,,https://fgo.wiki\images/0/0c/礼装365.jpg,https://fgo.wiki\images/d/da/%E7%81%B5%E5%AD%90%E8%82%96%E5%83%8F%EF%BC%9A%E9%98%BF%E8%92%82%E6%8B%89.png
366,4,灵子肖像：吉尔伽美什,灵子肖像：吉尔伽美什,9,100,100,100,100,关卡通关时获得的御主经验增加50,,https://fgo.wiki\images/d/dd/礼装366.jpg,https://fgo.wiki\images/7/73/%E7%81%B5%E5%AD%90%E8%82%96%E5%83%8F%EF%BC%9A%E5%90%89%E5%B0%94%E4%BC%BD%E7%BE%8E%E4%BB%80.png
367,4,神便鬼毒酒,神便鬼毒酒,9,100,100,100,100,酒吞童子(Assassin)装备，且自身在场时，<br>己方全体的Quick指令卡性能提升10%＆Arts指令卡性能提升10%,,https://fgo.wiki\images/a/a1/礼装367.jpg,https://fgo.wiki\images/4/41/%E7%A5%9E%E4%BE%BF%E9%AC%BC%E6%AF%92%E9%85%92.png
368,4,童子切安纲,童子切安纲,9,100,100,100,100,源赖光(Berserker)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升10%＆暴击威力提升15%,,https://fgo.wiki\images/d/d5/礼装368.jpg,https://fgo.wiki\images/b/b6/%E7%AB%A5%E5%AD%90%E5%88%87%E5%AE%89%E7%BA%B2.png
369,4,拉美西斯二世葬祭殿,拉美西斯二世葬祭殿,9,100,100,100,100,奥斯曼狄斯(Rider)装备，且自身在场时，<br>己方全体的Arts指令卡性能提升10%＆Buster指令卡性能提升10%,,https://fgo.wiki\images/d/d0/礼装369.jpg,https://fgo.wiki\images/5/5b/%E6%8B%89%E7%BE%8E%E8%A5%BF%E6%96%AF%E4%BA%8C%E4%B8%96%E8%91%AC%E7%A5%AD%E6%AE%BF.png
370,4,骨刀（无铭）,骨刀（无铭）,9,100,100,100,100,茨木童子(Berserker)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升20%＆防御力降低10%【负面效果】,,https://fgo.wiki\images/5/5c/礼装370.jpg,https://fgo.wiki\images/b/bc/%E9%AA%A8%E5%88%80%EF%BC%88%E6%97%A0%E9%93%AD%EF%BC%89.png
371,4,黄金熊号,黄金熊号,9,100,100,100,100,坂田金时(Rider)装备，且自身在场时，<br>己方全体的暴击星掉落率提升20%,,https://fgo.wiki\images/f/fd/礼装371.jpg,https://fgo.wiki\images/d/de/%E9%BB%84%E9%87%91%E7%86%8A%E5%8F%B7.png
372,4,格林嘉莱特,格林嘉莱特,9,100,100,100,100,高文(Saber)装备，且自身在场时，<br>己方全体的Buster指令卡性能提升15%,,https://fgo.wiki\images/d/d1/礼装372.jpg,https://fgo.wiki\images/5/51/%E6%A0%BC%E6%9E%97%E5%98%89%E8%8E%B1%E7%89%B9.png
373,4,唯一的谎言,唯一的谎言,9,100,100,100,100,崔斯坦(Archer)装备，且自身在场时，<br>己方全体的暴击威力提升25%,,https://fgo.wiki\images/5/54/礼装373.jpg,https://fgo.wiki\images/2/29/%E5%94%AF%E4%B8%80%E7%9A%84%E8%B0%8E%E8%A8%80.png
374,4,未被行使的王权,未被行使的王权,9,100,100,100,100,尼托克丽丝(Caster)装备，且自身在场时，<br>己方全体的NP获得量提升10%＆宝具威力提升10%,,https://fgo.wiki\images/1/1f/礼装374.jpg,https://fgo.wiki\images/8/89/%E6%9C%AA%E8%A2%AB%E8%A1%8C%E4%BD%BF%E7%9A%84%E7%8E%8B%E6%9D%83.png
375,4,鬼之面具,鬼之面具,9,100,100,100,100,风魔小太郎(Assassin)装备，且自身在场时，<br>己方全体的Quick指令卡性能提升15%,,https://fgo.wiki\images/5/53/礼装375.jpg,https://fgo.wiki\images/2/2a/%E9%AC%BC%E4%B9%8B%E9%9D%A2%E5%85%B7.png
376,4,炊饭无穷尽,炊饭无穷尽,9,100,100,100,100,俵藤太(Archer)装备，且自身在场时，<br>己方全体每回合回复500HP,,https://fgo.wiki\images/6/6d/礼装376.jpg,https://fgo.wiki\images/6/61/%E7%82%8A%E9%A5%AD%E6%97%A0%E7%A9%B7%E5%B0%BD.png
377,4,王之马,王之马,9,100,100,100,100,阿尔托莉雅(Lancer)装备，且自身在场时，<br>己方全体的攻击力提升10%＆宝具威力提升10%,,https://fgo.wiki\images/7/78/礼装377.jpg,https://fgo.wiki\images/7/71/%E7%8E%8B%E4%B9%8B%E9%A9%AC.png
378,4,万能之智，根底之知,万能之智，根底之知,9,100,100,100,100,莱昂纳多·达·芬奇(Caster)装备，且自身在场时，<br>己方全体的宝具威力提升20%,,https://fgo.wiki\images/9/94/礼装378.jpg,https://fgo.wiki\images/c/cb/%E4%B8%87%E8%83%BD%E4%B9%8B%E6%99%BA%EF%BC%8C%E6%A0%B9%E5%BA%95%E4%B9%8B%E7%9F%A5.png
379,4,沙滩日落,沙滩日落,9,100,100,100,100,玉藻前(Lancer)装备，且自身在场时，<br>己方全体的Quick指令卡性能提升10%＆Burst指令卡性能提升10%,,https://fgo.wiki\images/4/46/礼装379.jpg,https://fgo.wiki\images/4/4b/%E6%B2%99%E6%BB%A9%E6%97%A5%E8%90%BD.png
380,4,湖中仙子,湖中仙子,9,100,100,100,100,兰斯洛特(Saber)装备，且自身在场时，<br>己方全体的NP获得量提升10%＆暴击威力提升10%,,https://fgo.wiki\images/4/40/礼装380.jpg,https://fgo.wiki\images/c/c1/%E6%B9%96%E4%B8%AD%E4%BB%99%E5%AD%90.png
381,4,夏日的回忆,夏日的回忆,9,100,100,100,100,玛丽·安托瓦内特(Caster)装备，且自身在场时，<br>己方全体的暴击威力提升25%,,https://fgo.wiki\images/a/a9/礼装381.jpg,https://fgo.wiki\images/7/79/%E5%A4%8F%E6%97%A5%E7%9A%84%E5%9B%9E%E5%BF%86.png
382,4,正在沐浴中！,正在沐浴中！,9,100,100,100,100,安妮·伯妮＆玛莉·瑞德(Archer)装备，且自身在场时，<br>己方全体的Arts指令卡性能提升10%＆Buster指令卡性能提升10%,,https://fgo.wiki\images/b/b9/礼装382.jpg,https://fgo.wiki\images/8/8b/%E6%AD%A3%E5%9C%A8%E6%B2%90%E6%B5%B4%E4%B8%AD%EF%BC%81.png
383,4,普利多温,普利多温,9,100,100,100,100,莫德雷德(Rider)装备，且自身在场时，<br>己方全体的宝具威力提升20%,,https://fgo.wiki\images/c/c1/礼装383.jpg,https://fgo.wiki\images/6/65/%E6%99%AE%E5%88%A9%E5%A4%9A%E6%B8%A9.png
